id,name,Latitude,Longitude
1,berlin,52.5170365,13.3888599
2,warsaw,52.2319581,21.0067249
3,krakow,50.0619474,19.9368564
4,katowice,50.2598987,19.0215852
5,wroclaw,51.1089776,17.0326689
6,poznan,52.4082663,16.9335199
7,lodz,51.7687323,19.4569911
8,szczecin,53.4301818,14.5509623
9,bydgoszcz,53.1219648,18.0002529
10,bialystok,53.132398,23.1591679
11,vilnius,54.6870458,25.2829111
12,riga,56.9493977,24.1051846
13,tallinn,59.4372155,24.7453688
14,leningrad,59.9606739,30.1586551
15,moscow,55.7505412,37.6174782
16,pskov,57.8173923,28.3343465
17,minsk,53.9024716,27.5618225
18,gomel,52.4238936,31.0131698
19,brest,52.093751,23.6851851
20,kyiv,50.4500336,30.5241361
21,lviv,49.841952,24.0315921
22,baranavichy,53.1322925,26.0184156
23,smolensk,54.77897,32.0471812
24,bryansk,53.278964,34.3658936
25,rostov-on-don,47.2216548,39.7096061
26,mariupol,47.0957648,37.5499621
27,krasnoperekopsk,45.9568404,33.7974907
28,donetsk,48.0158753,37.8013407
29,dnipro,48.4680221,35.0417711
30,volgograd,48.7081906,44.5153353
31,tambov,52.7216164,41.4523988
32,voronezh,51.680008,39.183725
33,chisinau,47.0245117,28.8322923
34,bucharest,44.4361414,26.1027202
35,budapest,47.4978789,19.0402383
36,bratislava,48.31295,18.0894593
37,prague,50.0874654,14.4212535
38,vienna,48.2083537,16.3725042
39,brno,49.1922443,16.6113382
40,nuremberg,49.453872,11.077298
41,munich,48.1371079,11.5753822
42,innsbruck,47.2654296,11.3927685
